waste_type,sub_type,weight_kg,distance_km,condition,month,day_of_week,county,collection_point,market_tier,tier_score,tier_multiplier,price_per_kg
e_waste,mixed_ewaste,27.54,61.74,clean,6,5,Kajiado,household,formal,1.0,1.0,30.09
paper,newspaper,9.37,35.86,mixed,7,2,Nairobi,commercial,semi_formal,0.4545,0.8364,3.58
metal,brass,12.71,20.84,mixed,4,1,Nairobi,commercial,semi_formal,0.4545,0.9455,213.36
plastic,PVC,39.97,4.68,clean,8,4,Nairobi,household,formal,1.0,1.0,11.05
metal,steel,16.34,0.36,clean,1,2,Nairobi,commercial,formal,1.0,1.0,43.56
glass,clear_glass,52.68,5.76,clean,4,6,Nairobi,commercial,formal,1.0,1.0,3.61
rubber,mixed_rubber,23.0,40.25,clean,1,1,Kajiado,household,formal,1.0,1.0,6.76
glass,clear_glass,63.56,1.64,clean,7,6,Eldoret,household,formal,1.0,1.0,2.71
metal,tin,11.93,19.72,clean,7,4,Nairobi,household,formal,1.0,1.0,16.98
paper,cardboard,11.55,37.3,contaminated,10,3,Kiambu,industrial,informal,0.0,0.7,4.29
paper,office_paper,35.5,3.24,contaminated,5,4,Kisumu,industrial,informal,0.0,0.7,4.15
metal,tin,44.12,6.88,clean,10,1,Nairobi,household,formal,1.0,1.0,13.24
metal,brass,7.12,32.27,clean,5,6,Kisumu,dump_site,formal,1.0,1.0,153.15
plastic,mixed_plastic,33.23,1.55,clean,5,3,Kiambu,household,formal,1.0,1.0,7.65
glass,clear_glass,20.13,9.07,mixed,6,2,Mombasa,household,semi_formal,0.4545,0.7545,1.84
metal,copper,12.98,6.63,contaminated,2,6,Nairobi,household,informal,0.0,0.9,291.3
plastic,PVC,22.9,1.04,contaminated,3,3,Mombasa,commercial,informal,0.0,0.62,5.53
plastic,PP,20.64,24.06,clean,5,2,Kisumu,commercial,formal,1.0,1.0,7.09
plastic,HDPE,49.34,0.45,mixed,5,0,Kajiado,industrial,semi_formal,0.4545,0.7927,8.66
paper,mixed_paper,32.91,12.55,mixed,7,0,Eldoret,commercial,semi_formal,0.4545,0.8364,4.12
plastic,HDPE,15.64,4.53,clean,7,3,Eldoret,industrial,formal,1.0,1.0,13.97
plastic,PET,17.98,17.54,mixed,11,6,Nairobi,household,semi_formal,0.4545,0.7927,7.55
metal,steel_heavy,18.89,6.55,contaminated,2,1,Nairobi,commercial,informal,0.0,0.9,29.36
plastic,PP,81.02,10.27,clean,10,2,Kajiado,household,formal,1.0,1.0,7.74
metal,steel,16.27,1.2,mixed,6,2,Nairobi,household,semi_formal,0.4545,0.9455,27.77
textile,clothes,12.61,6.87,contaminated,10,6,Nairobi,dump_site,informal,0.0,0.8,4.64
plastic,PVC,18.01,10.44,clean,11,0,Mombasa,commercial,formal,1.0,1.0,7.5
rubber,mixed_rubber,23.98,3.26,mixed,9,1,Kiambu,household,semi_formal,0.4545,0.8909,7.93
plastic,PP,48.06,8.73,clean,9,5,Nairobi,household,formal,1.0,1.0,8.89
e_waste,mixed_ewaste,9.39,16.85,mixed,10,1,Mombasa,commercial,semi_formal,0.4545,0.9727,41.06
metal,steel_heavy,34.54,1.32,mixed,7,3,Kisumu,household,semi_formal,0.4545,0.9455,23.81
e_waste,mixed_ewaste,53.3,3.2,clean,12,6,Nairobi,commercial,formal,1.0,1.0,53.1
e_waste,computers,44.23,15.11,contaminated,12,0,Kiambu,commercial,informal,0.0,0.95,48.95
textile,clothes,10.15,7.03,mixed,9,3,Nairobi,household,semi_formal,0.4545,0.8909,5.79
paper,newspaper,72.31,6.57,clean,2,3,Kisumu,commercial,formal,1.0,1.0,5.02
metal,brass,16.03,3.27,clean,10,2,Nairobi,commercial,formal,1.0,1.0,349.64
metal,copper,34.04,3.63,mixed,6,0,Eldoret,commercial,semi_formal,0.4545,0.9455,311.07
e_waste,cables,33.26,5.43,contaminated,2,5,Nakuru,commercial,informal,0.0,0.95,33.72
paper,newspaper,7.24,9.43,clean,11,4,Nairobi,commercial,formal,1.0,1.0,6.45
e_waste,phones,48.41,0.2,clean,11,4,Kajiado,dump_site,formal,1.0,1.0,50.63
plastic,mixed_plastic,12.82,10.12,mixed,4,1,Nakuru,industrial,semi_formal,0.4545,0.7927,5.88
organic,garden_waste,10.21,1.92,clean,1,6,Nairobi,commercial,formal,1.0,1.0,9.24
plastic,PP,59.47,5.83,mixed,2,3,Nairobi,commercial,semi_formal,0.4545,0.7927,10.09
plastic,mixed_plastic,13.14,14.18,contaminated,7,4,Machakos,commercial,informal,0.0,0.62,4.75
plastic,mixed_plastic,25.44,10.84,mixed,3,6,Kiambu,industrial,semi_formal,0.4545,0.7927,6.81
plastic,mixed_plastic,61.21,17.51,mixed,5,4,Nakuru,household,semi_formal,0.4545,0.7927,3.43
metal,brass,6.91,2.58,clean,2,3,Nakuru,dump_site,formal,1.0,1.0,169.59
plastic,mixed_plastic,10.48,0.2,clean,2,3,Nairobi,household,formal,1.0,1.0,8.92
paper,office_paper,6.29,19.8,contaminated,2,1,Machakos,household,informal,0.0,0.7,3.17
paper,office_paper,14.39,1.76,clean,12,5,Nairobi,commercial,formal,1.0,1.0,9.04
e_waste,mixed_ewaste,36.64,1.12,clean,12,3,Nairobi,dump_site,formal,1.0,1.0,42.68
plastic,LDPE,9.4,2.1,clean,10,2,Mombasa,household,formal,1.0,1.0,6.38
plastic,PVC,18.39,4.05,clean,8,1,Eldoret,dump_site,formal,1.0,1.0,6.83
plastic,HDPE,54.66,2.43,clean,6,0,Nairobi,industrial,formal,1.0,1.0,13.34
e_waste,mixed_ewaste,20.48,6.47,contaminated,12,5,Mombasa,industrial,informal,0.0,0.95,31.79
plastic,PP,11.59,1.45,mixed,3,0,Kisumu,household,semi_formal,0.4545,0.7927,8.54
metal,tin,11.6,3.51,clean,1,1,Kiambu,industrial,formal,1.0,1.0,17.83
paper,newspaper,6.24,7.41,clean,7,2,Kiambu,household,formal,1.0,1.0,7.29
glass,clear_glass,48.72,27.28,mixed,9,4,Kiambu,commercial,semi_formal,0.4545,0.7545,2.36
plastic,LDPE,31.23,2.72,clean,11,5,Nairobi,industrial,formal,1.0,1.0,8.32
paper,cardboard,7.11,17.14,clean,1,2,Nairobi,household,formal,1.0,1.0,8.5
plastic,PET,37.11,25.61,mixed,3,2,Nairobi,dump_site,semi_formal,0.4545,0.7927,5.31
paper,office_paper,5.51,4.85,clean,4,0,Nairobi,commercial,formal,1.0,1.0,9.48
plastic,LDPE,60.32,14.31,clean,11,1,Nairobi,commercial,formal,1.0,1.0,5.91
plastic,HDPE,49.64,8.87,contaminated,5,0,Nairobi,household,informal,0.0,0.62,5.7
metal,aluminum,16.45,12.32,clean,4,3,Nairobi,dump_site,formal,1.0,1.0,17.52
organic,garden_waste,29.27,2.93,mixed,5,6,Nairobi,dump_site,semi_formal,0.4545,0.9182,3.58
organic,garden_waste,2.64,1.06,clean,11,1,Nairobi,commercial,formal,1.0,1.0,6.42
metal,aluminum,2.85,1.21,clean,8,4,Mombasa,commercial,formal,1.0,1.0,31.83
plastic,PP,22.29,0.2,clean,7,5,Kajiado,commercial,formal,1.0,1.0,10.12
plastic,PP,20.93,26.87,clean,11,6,Nairobi,commercial,formal,1.0,1.0,10.7
metal,aluminum,20.96,2.41,clean,8,5,Nairobi,commercial,formal,1.0,1.0,25.27
paper,cardboard,33.51,8.78,mixed,10,0,Nairobi,household,semi_formal,0.4545,0.8364,3.81
paper,mixed_paper,29.87,3.21,clean,2,4,Nakuru,commercial,formal,1.0,1.0,6.89
e_waste,mixed_ewaste,33.43,3.07,clean,11,2,Nakuru,household,formal,1.0,1.0,39.54
e_waste,cables,37.88,6.43,clean,5,5,Mombasa,household,formal,1.0,1.0,47.24
metal,steel_heavy,34.23,7.83,clean,9,5,Kisumu,household,formal,1.0,1.0,32.27
plastic,mixed_plastic,64.71,1.62,mixed,12,2,Kiambu,commercial,semi_formal,0.4545,0.7927,6.05
metal,copper,30.82,6.45,mixed,1,5,Nakuru,commercial,semi_formal,0.4545,0.9455,306.2
paper,mixed_paper,19.13,1.92,clean,5,2,Nakuru,dump_site,formal,1.0,1.0,4.05
plastic,LDPE,9.4,6.92,mixed,5,3,Nairobi,commercial,semi_formal,0.4545,0.7927,5.33
plastic,PVC,7.14,1.96,clean,10,0,Nairobi,household,formal,1.0,1.0,8.6
paper,cardboard,34.89,2.79,contaminated,12,0,Nairobi,commercial,informal,0.0,0.7,5.08
plastic,mixed_plastic,11.48,7.51,clean,10,0,Kajiado,dump_site,formal,1.0,1.0,5.63
metal,brass,56.68,2.3,contaminated,5,1,Nakuru,industrial,informal,0.0,0.9,147.53
plastic,PET,50.09,32.73,mixed,3,4,Nakuru,commercial,semi_formal,0.4545,0.7927,4.63
paper,office_paper,20.5,3.69,mixed,11,0,Kiambu,household,semi_formal,0.4545,0.8364,4.71
metal,steel_light,53.79,0.99,mixed,3,5,Mombasa,commercial,semi_formal,0.4545,0.9455,15.52
metal,tin,21.7,2.68,clean,1,3,Nairobi,household,formal,1.0,1.0,17.82
metal,brass,59.53,18.27,mixed,1,3,Nairobi,commercial,semi_formal,0.4545,0.9455,177.19
e_waste,phones,49.33,26.34,clean,4,6,Nairobi,commercial,formal,1.0,1.0,83.23
metal,steel_heavy,28.04,5.23,clean,1,3,Kisumu,commercial,formal,1.0,1.0,32.72
metal,steel_light,53.47,35.18,contaminated,9,1,Eldoret,commercial,informal,0.0,0.9,10.46
plastic,PVC,37.34,6.38,mixed,7,0,Machakos,commercial,semi_formal,0.4545,0.7927,5.34
paper,newspaper,52.12,1.34,contaminated,7,1,Nairobi,industrial,informal,0.0,0.7,5.41
plastic,mixed_plastic,16.57,5.33,mixed,3,5,Eldoret,household,semi_formal,0.4545,0.7927,5.82
paper,newspaper,15.96,12.53,clean,9,3,Mombasa,commercial,formal,1.0,1.0,6.58
plastic,mixed_plastic,114.36,24.24,contaminated,9,4,Kisumu,commercial,informal,0.0,0.62,3.32
paper,newspaper,49.95,3.78,clean,6,1,Nairobi,household,formal,1.0,1.0,6.02
metal,tin,15.12,24.5,mixed,9,4,Nairobi,industrial,semi_formal,0.4545,0.9455,14.75
e_waste,phones,15.57,1.77,clean,8,6,Mombasa,commercial,formal,1.0,1.0,114.21
paper,newspaper,58.95,7.01,mixed,10,0,Nairobi,household,semi_formal,0.4545,0.8364,3.58
plastic,HDPE,17.42,19.82,mixed,8,0,Kiambu,industrial,semi_formal,0.4545,0.7927,9.88
e_waste,computers,29.0,1.88,mixed,2,3,Nakuru,industrial,semi_formal,0.4545,0.9727,61.93
plastic,PVC,16.13,3.0,mixed,11,6,Kiambu,commercial,semi_formal,0.4545,0.7927,5.89
paper,mixed_paper,38.88,2.6,contaminated,7,6,Nairobi,industrial,informal,0.0,0.7,5.66
plastic,LDPE,42.05,1.45,clean,11,3,Nairobi,household,formal,1.0,1.0,7.25
plastic,mixed_plastic,70.12,4.88,clean,5,1,Kajiado,household,formal,1.0,1.0,6.2
paper,mixed_paper,6.02,7.36,clean,2,1,Mombasa,commercial,formal,1.0,1.0,6.16
paper,mixed_paper,19.34,5.69,mixed,10,6,Nairobi,industrial,semi_formal,0.4545,0.8364,5.37
paper,office_paper,16.66,18.16,mixed,12,1,Nairobi,dump_site,semi_formal,0.4545,0.8364,3.82
rubber,tyres,6.34,8.56,mixed,12,2,Nakuru,commercial,semi_formal,0.4545,0.8909,11.26
metal,aluminum,39.66,1.71,mixed,8,5,Eldoret,household,semi_formal,0.4545,0.9455,14.11
glass,clear_glass,50.39,12.07,mixed,3,4,Nairobi,commercial,semi_formal,0.4545,0.7545,2.9
paper,mixed_paper,6.25,17.93,clean,5,2,Mombasa,dump_site,formal,1.0,1.0,6.17
plastic,PVC,40.11,4.98,contaminated,5,3,Mombasa,commercial,informal,0.0,0.62,4.71
paper,cardboard,73.43,0.92,mixed,7,1,Nairobi,commercial,semi_formal,0.4545,0.8364,7.14
e_waste,computers,5.85,8.84,mixed,3,1,Mombasa,household,semi_formal,0.4545,0.9727,50.95
textile,clothes,43.51,6.51,mixed,7,2,Machakos,household,semi_formal,0.4545,0.8909,5.07
plastic,LDPE,14.51,17.28,mixed,9,6,Kisumu,household,semi_formal,0.4545,0.7927,4.93
plastic,HDPE,22.16,3.21,mixed,3,1,Mombasa,household,semi_formal,0.4545,0.7927,8.37
organic,food_waste,40.72,56.04,clean,8,5,Kiambu,dump_site,formal,1.0,1.0,4.88
rubber,mixed_rubber,25.52,4.18,clean,9,0,Nairobi,industrial,formal,1.0,1.0,10.97
plastic,LDPE,10.09,13.19,clean,3,3,Nairobi,household,formal,1.0,1.0,5.37
glass,colored_glass,27.78,8.46,clean,9,2,Nairobi,household,formal,1.0,1.0,2.17
plastic,PVC,56.87,1.82,mixed,2,6,Nairobi,commercial,semi_formal,0.4545,0.7927,6.66
organic,garden_waste,12.26,22.83,clean,2,0,Nairobi,commercial,formal,1.0,1.0,6.37
plastic,mixed_plastic,12.32,4.36,clean,4,4,Eldoret,household,formal,1.0,1.0,8.74
paper,newspaper,66.28,12.5,mixed,8,4,Nairobi,industrial,semi_formal,0.4545,0.8364,5.27
plastic,mixed_plastic,4.63,14.02,contaminated,2,5,Kisumu,household,informal,0.0,0.62,4.37
metal,copper,29.08,18.38,contaminated,5,2,Kisumu,industrial,informal,0.0,0.9,236.26
metal,copper,31.92,10.64,mixed,9,3,Machakos,household,semi_formal,0.4545,0.9455,259.98
paper,cardboard,35.33,15.62,clean,6,2,Kajiado,household,formal,1.0,1.0,4.66
textile,clothes,31.73,2.55,clean,9,2,Nairobi,commercial,formal,1.0,1.0,6.97
plastic,mixed_plastic,7.1,8.91,mixed,4,3,Nairobi,commercial,semi_formal,0.4545,0.7927,8.86
plastic,PP,14.51,21.77,contaminated,1,1,Mombasa,commercial,informal,0.0,0.62,5.03
e_waste,computers,2.48,5.72,clean,9,2,Nairobi,household,formal,1.0,1.0,86.58
metal,aluminum,40.89,11.55,contaminated,4,0,Nakuru,industrial,informal,0.0,0.9,13.87
organic,food_waste,18.69,10.86,contaminated,7,1,Eldoret,household,informal,0.0,0.85,3.8
paper,newspaper,54.96,6.76,clean,2,3,Nairobi,commercial,formal,1.0,1.0,7.0
paper,cardboard,13.04,1.63,contaminated,9,2,Nairobi,commercial,informal,0.0,0.7,4.62
paper,newspaper,76.03,8.81,clean,1,4,Nairobi,commercial,formal,1.0,1.0,7.24
organic,food_waste,23.66,1.4,mixed,12,2,Nairobi,industrial,semi_formal,0.4545,0.9182,5.14
organic,food_waste,15.1,5.1,mixed,10,2,Kisumu,commercial,semi_formal,0.4545,0.9182,5.72
glass,clear_glass,56.86,15.34,clean,6,3,Nairobi,household,formal,1.0,1.0,2.81
metal,steel_light,36.61,10.18,contaminated,10,3,Nairobi,household,informal,0.0,0.9,11.94
plastic,HDPE,21.89,3.71,clean,6,0,Nairobi,dump_site,formal,1.0,1.0,10.49
paper,office_paper,33.97,66.68,clean,12,3,Eldoret,dump_site,formal,1.0,1.0,2.61
plastic,LDPE,6.56,3.42,contaminated,3,4,Machakos,industrial,informal,0.0,0.62,4.7
plastic,PP,29.71,23.58,clean,6,5,Eldoret,household,formal,1.0,1.0,6.74
paper,mixed_paper,13.99,1.78,mixed,3,5,Kiambu,commercial,semi_formal,0.4545,0.8364,5.93
metal,steel,19.02,31.46,clean,11,4,Nairobi,household,formal,1.0,1.0,24.03
metal,steel_heavy,24.47,1.51,clean,9,5,Nairobi,industrial,formal,1.0,1.0,38.49
metal,brass,15.36,2.2,clean,5,4,Machakos,household,formal,1.0,1.0,202.92
plastic,PVC,20.0,22.54,clean,4,3,Machakos,household,formal,1.0,1.0,6.27
e_waste,cables,11.89,1.28,mixed,4,5,Kisumu,household,semi_formal,0.4545,0.9727,46.35
e_waste,mixed_ewaste,62.19,8.34,mixed,1,0,Kiambu,household,semi_formal,0.4545,0.9727,33.66
glass,mixed_glass,9.97,0.64,mixed,1,5,Kisumu,commercial,semi_formal,0.4545,0.7545,2.0
textile,industrial_textile,13.91,9.54,clean,7,5,Nakuru,commercial,formal,1.0,1.0,4.92
plastic,HDPE,6.56,3.14,mixed,9,2,Nairobi,commercial,semi_formal,0.4545,0.7927,12.86
glass,colored_glass,45.63,5.26,clean,7,1,Nairobi,commercial,formal,1.0,1.0,2.53
metal,steel,20.81,6.86,clean,2,4,Kajiado,industrial,formal,1.0,1.0,30.97
organic,food_waste,17.86,11.73,mixed,3,5,Kisumu,household,semi_formal,0.4545,0.9182,4.96
metal,brass,32.6,12.23,clean,10,5,Eldoret,dump_site,formal,1.0,1.0,128.88
e_waste,mixed_ewaste,26.66,5.34,clean,12,0,Nairobi,household,formal,1.0,1.0,43.33
plastic,LDPE,16.55,0.4,mixed,10,5,Eldoret,industrial,semi_formal,0.4545,0.7927,5.83
textile,industrial_textile,8.99,39.05,mixed,2,0,Nairobi,commercial,semi_formal,0.4545,0.8909,5.4
e_waste,mixed_ewaste,26.07,1.25,clean,10,5,Mombasa,industrial,formal,1.0,1.0,58.45
plastic,HDPE,13.31,7.91,clean,3,6,Nairobi,household,formal,1.0,1.0,10.53
paper,newspaper,17.14,3.37,clean,8,6,Nairobi,household,formal,1.0,1.0,6.42
paper,office_paper,28.94,20.26,clean,8,1,Kiambu,household,formal,1.0,1.0,6.64
plastic,mixed_plastic,19.44,17.94,mixed,11,2,Nakuru,dump_site,semi_formal,0.4545,0.7927,4.73
plastic,HDPE,22.41,29.06,clean,11,0,Nairobi,household,formal,1.0,1.0,9.6
metal,tin,16.75,13.82,clean,10,2,Nairobi,household,formal,1.0,1.0,16.16
paper,newspaper,2.93,22.68,mixed,1,1,Kisumu,commercial,semi_formal,0.4545,0.8364,3.41
plastic,PP,22.83,4.06,clean,1,2,Nairobi,household,formal,1.0,1.0,11.55
plastic,PP,9.33,6.99,clean,11,1,Kiambu,commercial,formal,1.0,1.0,11.42
paper,newspaper,13.71,1.42,clean,2,0,Nairobi,commercial,formal,1.0,1.0,7.93
paper,newspaper,18.43,6.68,contaminated,6,6,Nairobi,dump_site,informal,0.0,0.7,2.42
plastic,PVC,41.4,12.48,clean,4,0,Nakuru,household,formal,1.0,1.0,4.52
paper,cardboard,33.37,1.55,mixed,4,1,Nairobi,industrial,semi_formal,0.4545,0.8364,4.18
e_waste,cables,26.96,5.95,mixed,1,3,Nairobi,industrial,semi_formal,0.4545,0.9727,56.59
glass,clear_glass,26.48,1.89,mixed,11,0,Kiambu,household,semi_formal,0.4545,0.7545,2.32
textile,clothes,55.68,29.25,clean,6,3,Kisumu,household,formal,1.0,1.0,4.12
paper,cardboard,66.49,7.74,clean,10,3,Mombasa,household,formal,1.0,1.0,5.85
plastic,PET,23.59,3.38,clean,3,4,Kisumu,industrial,formal,1.0,1.0,13.9
e_waste,mixed_ewaste,63.55,7.05,clean,3,4,Mombasa,household,formal,1.0,1.0,38.12
paper,newspaper,6.52,12.34,mixed,12,6,Kisumu,commercial,semi_formal,0.4545,0.8364,5.16
organic,food_waste,9.29,3.0,contaminated,12,0,Eldoret,household,informal,0.0,0.85,3.53
metal,steel_heavy,18.44,47.46,clean,9,4,Nairobi,industrial,formal,1.0,1.0,43.75
metal,aluminum,4.98,33.26,clean,12,3,Kisumu,household,formal,1.0,1.0,19.02
textile,clothes,54.66,2.03,clean,7,3,Kiambu,industrial,formal,1.0,1.0,9.26
plastic,PP,39.13,0.2,contaminated,5,5,Nakuru,household,informal,0.0,0.62,3.77
plastic,LDPE,36.48,6.92,clean,8,5,Nairobi,commercial,formal,1.0,1.0,8.43
plastic,mixed_plastic,23.89,20.27,clean,7,3,Nairobi,dump_site,formal,1.0,1.0,6.51
plastic,PP,22.42,1.84,clean,4,5,Kiambu,commercial,formal,1.0,1.0,12.78
textile,clothes,10.44,15.44,mixed,9,6,Nairobi,household,semi_formal,0.4545,0.8909,5.81
plastic,LDPE,11.96,8.18,clean,1,0,Kiambu,commercial,formal,1.0,1.0,8.02
e_waste,cables,4.9,17.33,mixed,10,0,Kisumu,industrial,semi_formal,0.4545,0.9727,54.9
e_waste,mixed_ewaste,43.17,8.66,clean,9,4,Nairobi,dump_site,formal,1.0,1.0,35.64
paper,newspaper,32.59,10.52,clean,6,6,Nairobi,household,formal,1.0,1.0,5.21
e_waste,batteries,32.18,6.43,clean,5,6,Eldoret,dump_site,formal,1.0,1.0,20.03
metal,copper,38.16,32.53,contaminated,4,1,Machakos,household,informal,0.0,0.9,152.43
plastic,PP,1.03,5.97,clean,10,0,Nairobi,dump_site,formal,1.0,1.0,9.74
glass,mixed_glass,50.32,9.31,mixed,10,3,Mombasa,household,semi_formal,0.4545,0.7545,1.34
glass,colored_glass,11.91,3.22,mixed,9,0,Nairobi,household,semi_formal,0.4545,0.7545,1.83
plastic,mixed_plastic,15.5,7.33,mixed,8,0,Nairobi,household,semi_formal,0.4545,0.7927,7.29
plastic,LDPE,66.89,8.15,contaminated,10,3,Nakuru,commercial,informal,0.0,0.62,2.7
plastic,PET,60.89,3.51,contaminated,3,2,Nairobi,household,informal,0.0,0.62,6.74
rubber,mixed_rubber,27.22,9.49,mixed,10,4,Kisumu,household,semi_formal,0.4545,0.8909,5.84
e_waste,phones,34.88,13.12,mixed,7,1,Kisumu,commercial,semi_formal,0.4545,0.9727,68.62
organic,garden_waste,40.53,2.37,clean,2,1,Nairobi,dump_site,formal,1.0,1.0,6.05
organic,garden_waste,67.73,1.31,clean,11,6,Mombasa,commercial,formal,1.0,1.0,6.33
plastic,LDPE,33.89,18.39,clean,10,6,Nairobi,commercial,formal,1.0,1.0,10.75
paper,newspaper,13.82,17.17,clean,3,1,Nairobi,industrial,formal,1.0,1.0,9.26
plastic,PET,46.58,18.22,clean,1,6,Nairobi,dump_site,formal,1.0,1.0,12.16
metal,tin,32.59,5.61,clean,9,3,Nakuru,commercial,formal,1.0,1.0,14.48
plastic,mixed_plastic,17.88,1.71,mixed,1,2,Nairobi,household,semi_formal,0.4545,0.7927,9.01
glass,clear_glass,23.33,9.68,clean,1,1,Nakuru,commercial,formal,1.0,1.0,2.74
metal,steel_light,62.47,6.17,contaminated,7,0,Nairobi,commercial,informal,0.0,0.9,12.24
paper,office_paper,1.09,11.9,clean,2,0,Nairobi,commercial,formal,1.0,1.0,9.09
plastic,HDPE,18.72,1.54,clean,5,5,Nairobi,commercial,formal,1.0,1.0,10.05
plastic,PP,36.52,17.43,mixed,7,5,Nairobi,commercial,semi_formal,0.4545,0.7927,9.11
organic,garden_waste,52.26,7.56,mixed,11,2,Nairobi,commercial,semi_formal,0.4545,0.9182,4.31
organic,food_waste,16.35,30.57,clean,8,2,Mombasa,industrial,formal,1.0,1.0,9.65
plastic,HDPE,13.82,12.75,clean,10,1,Kajiado,dump_site,formal,1.0,1.0,6.58
paper,office_paper,6.47,1.87,clean,6,4,Nairobi,commercial,formal,1.0,1.0,10.37
e_waste,phones,2.16,11.43,clean,3,6,Kiambu,household,formal,1.0,1.0,65.67
e_waste,mixed_ewaste,4.46,26.21,clean,1,5,Nakuru,commercial,formal,1.0,1.0,37.68
organic,garden_waste,31.99,17.51,mixed,9,0,Mombasa,household,semi_formal,0.4545,0.9182,3.73
paper,newspaper,12.26,17.9,clean,3,4,Mombasa,industrial,formal,1.0,1.0,7.1
paper,office_paper,23.81,7.03,clean,11,5,Eldoret,industrial,formal,1.0,1.0,7.16
paper,office_paper,18.1,6.38,clean,11,2,Nakuru,household,formal,1.0,1.0,5.14
metal,steel_light,15.48,22.58,mixed,8,3,Mombasa,commercial,semi_formal,0.4545,0.9455,12.35
paper,newspaper,16.54,14.41,clean,7,6,Nakuru,household,formal,1.0,1.0,4.92
plastic,PVC,3.23,10.38,mixed,3,0,Nairobi,dump_site,semi_formal,0.4545,0.7927,6.61
glass,mixed_glass,19.21,13.84,contaminated,5,0,Eldoret,household,informal,0.0,0.55,1.03
paper,mixed_paper,38.52,7.52,contaminated,4,1,Nairobi,industrial,informal,0.0,0.7,3.09
plastic,PP,67.44,2.76,clean,7,1,Machakos,household,formal,1.0,1.0,7.47
e_waste,mixed_ewaste,45.28,4.04,clean,9,0,Nairobi,commercial,formal,1.0,1.0,54.86
metal,steel_light,18.98,5.03,mixed,1,3,Mombasa,household,semi_formal,0.4545,0.9455,12.53
organic,food_waste,14.56,13.26,clean,7,2,Nairobi,commercial,formal,1.0,1.0,10.79
rubber,tyres,45.06,6.62,clean,7,0,Nairobi,dump_site,formal,1.0,1.0,11.95
metal,steel_heavy,19.18,5.53,mixed,9,1,Nairobi,commercial,semi_formal,0.4545,0.9455,24.68
plastic,mixed_plastic,50.6,12.09,mixed,7,0,Nairobi,industrial,semi_formal,0.4545,0.7927,5.93
e_waste,cables,12.43,8.34,clean,6,2,Nairobi,household,formal,1.0,1.0,56.36
glass,mixed_glass,10.61,2.83,clean,6,3,Kiambu,industrial,formal,1.0,1.0,4.15
plastic,LDPE,78.15,0.8,mixed,8,0,Nairobi,dump_site,semi_formal,0.4545,0.7927,4.17
plastic,HDPE,42.72,1.52,clean,11,5,Mombasa,household,formal,1.0,1.0,9.6
plastic,HDPE,14.65,4.04,mixed,4,3,Kajiado,household,semi_formal,0.4545,0.7927,7.42
plastic,PP,56.49,9.6,contaminated,10,5,Machakos,industrial,informal,0.0,0.62,5.34
paper,mixed_paper,34.08,5.91,clean,6,2,Nairobi,dump_site,formal,1.0,1.0,4.93
paper,mixed_paper,14.02,1.24,clean,2,3,Mombasa,commercial,formal,1.0,1.0,8.0
e_waste,phones,13.01,1.4,mixed,10,2,Nairobi,commercial,semi_formal,0.4545,0.9727,85.88
paper,cardboard,45.89,0.99,contaminated,3,2,Nakuru,commercial,informal,0.0,0.7,4.1
metal,aluminum,23.64,3.68,contaminated,7,6,Nakuru,household,informal,0.0,0.9,15.57
paper,newspaper,38.7,1.67,clean,9,4,Mombasa,household,formal,1.0,1.0,6.43
rubber,mixed_rubber,18.8,9.17,clean,10,2,Nakuru,dump_site,formal,1.0,1.0,7.63
plastic,mixed_plastic,30.29,27.15,clean,6,6,Nairobi,industrial,formal,1.0,1.0,7.5
plastic,LDPE,59.2,2.1,clean,12,0,Nairobi,commercial,formal,1.0,1.0,5.18
organic,garden_waste,12.0,50.92,clean,1,2,Kiambu,household,formal,1.0,1.0,4.36
glass,clear_glass,62.54,6.39,clean,8,3,Nakuru,commercial,formal,1.0,1.0,2.41
e_waste,cables,20.65,12.27,contaminated,8,4,Eldoret,commercial,informal,0.0,0.95,43.95
paper,cardboard,63.82,11.77,clean,2,0,Nairobi,household,formal,1.0,1.0,7.07
metal,steel,27.27,2.12,contaminated,2,1,Kiambu,household,informal,0.0,0.9,15.28
metal,aluminum,54.05,10.92,mixed,9,3,Nairobi,industrial,semi_formal,0.4545,0.9455,20.18
plastic,PP,14.78,0.53,clean,11,4,Kiambu,household,formal,1.0,1.0,10.08
plastic,LDPE,58.65,2.04,clean,2,4,Nairobi,household,formal,1.0,1.0,6.73
plastic,PET,19.75,31.66,clean,1,2,Nairobi,commercial,formal,1.0,1.0,14.98
paper,mixed_paper,12.62,3.45,clean,9,5,Nairobi,household,formal,1.0,1.0,6.39
metal,brass,16.03,0.2,contaminated,11,0,Nairobi,household,informal,0.0,0.9,173.41
rubber,tyres,14.94,5.64,clean,11,6,Mombasa,household,formal,1.0,1.0,7.82
metal,brass,35.94,11.82,mixed,7,3,Kiambu,commercial,semi_formal,0.4545,0.9455,234.91
metal,aluminum,41.6,14.09,clean,4,2,Eldoret,industrial,formal,1.0,1.0,19.96
metal,brass,63.94,7.86,contaminated,8,5,Kiambu,household,informal,0.0,0.9,148.23
plastic,mixed_plastic,11.19,7.82,clean,6,3,Kisumu,commercial,formal,1.0,1.0,8.48
plastic,LDPE,35.88,2.79,clean,2,2,Nairobi,dump_site,formal,1.0,1.0,6.17
