waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,price_per_kg
metal,aluminum,6.445,1.527,0.9181,1,3,0.2665,124.99
textile,clothes,5.011,16.296,0.5756,7,6,0.4915,14.14
metal,aluminum,15.398,9.183,0.622,10,3,0.2327,115.02
metal,tin,16.1,11.163,0.7755,11,0,0.0615,23.15
e_waste,cables,2.394,16.08,0.5493,2,5,0.4451,55.63
paper,newspaper,1.48,12.158,0.4601,5,6,0.3759,4.79
paper,cardboard,0.223,2.724,0.6929,10,6,0.476,11.08
paper,office_paper,2.958,0.214,0.5895,1,0,0.64,15.31
plastic,HDPE,1.207,0.739,0.8106,9,6,0.7615,22.58
organic,food_waste,7.412,16.84,0.8843,4,2,0.6184,3.85
plastic,PP,2.995,2.04,0.7578,1,5,0.6391,16.29
plastic,PP,3.411,3.123,0.8802,3,4,0.6393,19.51
plastic,PET,11.874,0.412,0.7134,9,6,0.3859,23.2
organic,food_waste,7.219,10.576,0.6253,11,2,0.3649,3.8
paper,cardboard,3.896,0.386,0.9139,1,4,0.4222,8.55
glass,mixed_glass,33.91,3.306,0.6148,6,4,0.7911,6.67
organic,food_waste,10.868,4.008,0.4952,3,1,0.6203,4.84
plastic,HDPE,2.721,5.223,0.7611,9,5,0.9057,24.97
e_waste,mixed_ewaste,2.871,7.647,0.766,10,1,0.6826,105.7
paper,newspaper,11.543,2.402,0.7425,12,5,0.4691,10.16
plastic,HDPE,5.717,12.745,0.8967,5,0,0.7126,22.59
glass,colored_glass,1.167,4.702,0.7687,4,1,0.6816,7.21
textile,clothes,13.114,2.413,0.8106,4,3,0.6372,15.33
plastic,HDPE,20.261,3.826,0.7889,10,1,0.5227,26.44
metal,copper,18.498,19.401,0.688,6,0,0.6637,700.88
plastic,PP,28.54,25.621,0.5334,1,0,0.3059,8.98
metal,steel,53.68,12.54,0.826,12,2,0.3118,29.12
metal,aluminum,35.729,34.015,0.5576,2,3,0.7992,109.13
metal,aluminum,6.745,0.449,0.82,12,0,0.7097,146.19
metal,aluminum,3.49,0.832,0.8707,2,0,0.1542,109.14
plastic,PET,0.499,2.127,0.9424,7,4,0.1563,27.94
glass,clear_glass,4.541,2.501,0.7957,4,2,0.7329,9.02
glass,mixed_glass,8.356,16.62,0.7958,9,5,0.3907,4.68
glass,colored_glass,4.722,2.656,0.9035,5,5,0.5004,8.4
plastic,PET,0.465,11.59,0.7115,5,0,0.75,22.86
paper,office_paper,3.177,2.32,0.7757,6,6,0.3648,16.66
paper,office_paper,9.722,0.309,0.4041,12,4,0.5478,12.88
plastic,HDPE,1.309,0.588,0.8804,3,5,0.7888,25.86
plastic,mixed_plastic,5.468,1.518,0.3243,3,3,0.3432,10.72
paper,cardboard,7.523,3.575,0.7752,1,0,0.3557,8.66
e_waste,batteries,17.143,6.51,0.7298,9,6,0.2902,58.06
plastic,PP,34.992,5.184,0.7962,9,3,0.4488,14.77
organic,garden_waste,2.848,3.164,0.3247,8,0,0.3881,5.23
metal,steel,5.587,7.292,0.4004,1,1,0.5015,23.83
e_waste,phones,5.801,2.638,0.8435,10,1,0.5943,136.84
paper,newspaper,9.769,11.77,0.9157,10,2,0.6452,8.11
paper,newspaper,8.541,0.314,0.6106,12,3,0.3401,7.74
metal,steel,24.779,0.876,0.752,12,2,0.4529,32.15
textile,clothes,0.273,6.165,0.5063,4,6,0.359,9.99
paper,newspaper,7.401,3.528,0.9594,9,6,0.3746,9.89
metal,brass,8.044,5.884,0.7977,5,4,0.3578,333.59
metal,steel,3.379,24.982,0.9091,8,4,0.6039,33.48
e_waste,batteries,0.296,28.718,0.9494,4,6,0.347,54.79
plastic,mixed_plastic,4.165,1.914,0.9366,8,1,0.2618,12.69
metal,aluminum,1.91,6.648,0.8339,12,3,0.6833,157.2
paper,cardboard,33.567,2.743,0.8236,8,4,0.3608,13.6
textile,clothes,7.031,15.624,0.9011,12,1,0.5467,18.02
paper,cardboard,1.725,0.193,0.6504,12,6,0.4454,14.57
paper,office_paper,0.382,10.276,0.8906,2,1,0.5363,13.21
rubber,tyres,9.104,15.468,0.7192,12,0,0.4593,18.7
paper,cardboard,10.333,4.385,0.4995,10,2,0.4338,12.13
plastic,PP,3.459,10.538,0.8828,6,5,0.5757,16.62
plastic,HDPE,9.248,1.471,0.6073,8,2,0.4269,16.64
plastic,PET,2.951,15.975,0.4018,8,1,0.6252,20.01
plastic,HDPE,16.13,14.823,0.5601,10,6,0.5498,21.44
paper,newspaper,14.75,0.853,0.8416,10,1,0.4947,9.9
e_waste,mixed_ewaste,0.627,1.581,0.4439,2,1,0.3908,29.11
e_waste,mixed_ewaste,0.84,9.053,0.396,1,6,0.5255,44.31
plastic,PET,51.292,19.572,0.5144,3,2,0.873,24.8
metal,brass,13.717,0.638,0.6292,7,0,0.0597,292.08
plastic,PET,0.985,3.478,0.4784,11,3,0.6307,21.75
textile,clothes,0.681,10.216,0.9171,8,5,0.8379,14.51
plastic,PP,5.751,3.331,0.6213,2,5,0.6502,14.35
metal,copper,1.138,3.969,0.9682,9,0,0.7002,739.13
paper,office_paper,3.065,7.903,0.8917,6,1,0.6085,12.31
metal,steel,4.234,1.104,0.8611,5,4,0.3612,37.2
paper,office_paper,4.021,1.399,0.8875,10,4,0.3792,14
e_waste,computers,17.32,5.04,0.7913,4,4,0.2936,100.41
plastic,PP,40.516,1.166,0.6988,8,2,0.1088,15.71
textile,industrial_textile,2.523,2.537,0.6186,3,6,0.3332,6.45
metal,steel,1.154,2.011,0.5508,5,0,0.8644,29.46
e_waste,cables,7.146,5.711,0.3808,7,5,0.3922,83.51
organic,garden_waste,31.746,6.844,0.9036,8,6,0.4249,6.57
rubber,tyres,2.763,4.905,0.6535,12,4,0.3656,23.35
plastic,PP,12.434,2.401,0.6394,4,3,0.3002,9.73
plastic,HDPE,1.641,7.892,0.6812,11,2,0.3754,20.52
plastic,PP,4.598,9.975,0.8837,10,3,0.6987,18.1
plastic,PET,1.111,2.449,0.2649,5,1,0.8184,19.44
metal,steel,4.54,1.859,0.7425,2,1,0.5942,31.86
rubber,tyres,3.897,11.911,0.7385,4,4,0.3626,16.3
rubber,tyres,9.298,0.597,0.3889,8,3,0.5741,18.57
metal,aluminum,37.852,0.79,0.6527,10,3,0.7231,138.8
metal,brass,2.81,5.427,0.7369,8,3,0.7274,360.37
organic,garden_waste,0.407,17.136,0.8364,9,0,0.5352,5.49
textile,clothes,3.517,11.318,0.8858,2,6,0.4752,13.6
plastic,mixed_plastic,6.418,11.351,0.625,7,6,0.5969,11.27
metal,steel,5.71,5.345,0.8148,11,1,0.4942,32.67
organic,food_waste,3.71,7.91,0.3243,5,2,0.812,3.7
paper,newspaper,26.716,6.794,0.4069,11,4,0.5667,4.72
paper,cardboard,5.278,6.459,0.572,2,0,0.8653,9.77
rubber,tyres,3.952,23.543,0.4455,12,0,0.7859,22.97
rubber,mixed_rubber,1.763,18.166,0.637,10,6,0.7569,12.15
textile,industrial_textile,0.551,1.2,0.7512,8,1,0.7039,7.8
organic,food_waste,6.653,6.404,0.9581,8,4,0.5085,4.09
plastic,PP,6.016,12.909,0.5131,12,6,0.4061,12.97
paper,newspaper,1.257,0.858,0.7394,5,5,0.5666,8.51
metal,steel,4.249,4.471,0.2041,2,1,0.9595,22.4
metal,aluminum,3.771,6.423,0.5987,12,1,0.6099,140.12
metal,steel,2.118,0.413,0.8598,2,5,0.4874,37.36
metal,tin,1.73,1.341,0.3581,8,2,0.2898,19.57
paper,cardboard,7.287,5.545,0.7518,4,6,0.6299,13.19
e_waste,cables,3.418,3.361,0.6508,12,4,0.6876,84.53
paper,cardboard,2.205,7.778,0.8218,12,0,0.3375,11.12
paper,cardboard,1.594,4.538,0.8272,6,1,0.3093,13.06
plastic,PP,3.834,25.567,0.9181,7,5,0.6241,17.11
plastic,mixed_plastic,13.591,6.497,0.845,6,4,0.3619,12.18
organic,food_waste,5.743,1.663,0.9061,6,5,0.6621,4.97
paper,newspaper,3.372,8.816,0.7246,12,1,0.2881,7.66
plastic,PET,6.49,1.335,0.57,4,1,0.5853,19.68
e_waste,computers,23.041,5.519,0.4796,12,1,0.4489,93.81
metal,steel,8.073,10.639,0.7515,8,4,0.2617,30.01
plastic,mixed_plastic,6.124,2.094,0.6691,12,0,0.6132,10.69
paper,cardboard,9.643,9.473,0.4467,8,5,0.2268,10.04
plastic,PET,3.708,2.365,0.8708,10,1,0.5437,29.25
glass,colored_glass,5.589,3.459,0.49,6,3,0.0801,4
plastic,PET,2.492,29.406,0.6631,6,1,0.417,17.82
plastic,PET,0.697,3.929,0.8794,4,2,0.284,23.81
plastic,HDPE,6.763,9.318,0.5101,3,5,0.6403,19.12
metal,copper,6.794,2.209,0.9279,1,1,0.3035,609.48
plastic,PP,3.173,2.522,0.835,5,3,0.5574,17.02
organic,food_waste,15.533,6.152,0.7516,12,0,0.2599,4.58
plastic,PET,1.885,2.366,0.4922,12,1,0.4963,25.6
metal,aluminum,0.535,0.526,0.7089,9,4,0.3651,123.62
paper,office_paper,1.942,1.624,0.6286,5,3,0.5243,12.6
paper,cardboard,0.705,11.749,0.6709,7,4,0.3481,11.91
plastic,mixed_plastic,6.724,8.755,0.4569,10,1,0.2249,9.98
organic,food_waste,1.818,6.5,0.5166,1,1,0.3718,3.2
textile,clothes,14.609,6.673,0.7773,12,2,0.446,16.15
plastic,mixed_plastic,14.247,4.793,0.6339,11,0,0.0648,7.48
plastic,HDPE,1.477,26.14,0.3635,12,6,0.3824,11.94
textile,clothes,1.699,4.917,0.894,2,1,0.8499,16.91
metal,aluminum,8.511,14.212,0.792,12,5,0.8046,140.72
plastic,HDPE,14.524,5.202,0.7992,8,1,0.4139,19.12
plastic,mixed_plastic,0.4,10.902,0.8686,7,4,0.6744,12.24
glass,clear_glass,6.284,6.77,0.6086,3,1,0.197,10.57
e_waste,mixed_ewaste,0.321,11.575,0.835,6,1,0.5681,61
metal,brass,2.32,14.921,0.7018,5,2,0.372,368.97
rubber,tyres,16.65,5.537,0.9169,12,0,0.4148,22.4
paper,newspaper,165.956,7.041,0.7271,5,0,0.626,9.69
paper,newspaper,3.365,2.424,0.8311,3,5,0.1142,6.86
paper,newspaper,1.003,3.544,0.5798,12,2,0.8569,9.62
paper,newspaper,2.42,52.932,0.5467,3,3,0.4184,4.51
plastic,PP,4.851,8.15,0.6689,11,4,0.7337,14.92
plastic,PET,2.005,0.203,0.5488,12,4,0.3153,24.18
paper,mixed_paper,1.477,0.334,0.5667,4,4,0.5246,4.95
e_waste,cables,2.685,10.598,0.7721,9,6,0.6274,85.82
plastic,PET,7.204,1.628,0.7862,10,4,0.5088,23.91
paper,cardboard,3.657,4.93,0.937,7,2,0.7437,17.22
metal,aluminum,1.556,16.327,0.9259,9,1,0.3589,136.48
metal,aluminum,2.006,6.226,0.3604,2,5,0.5164,82.78
e_waste,batteries,2.727,17.659,0.8698,7,2,0.6754,79.93
organic,garden_waste,1.351,24.649,0.8938,7,3,0.5631,5.55
e_waste,computers,1.918,0.746,0.6026,7,5,0.2601,113.15
plastic,PET,9.702,8.911,0.8806,12,1,0.5732,30.3
paper,newspaper,3.399,5.116,0.8331,10,1,0.1885,9.15
metal,steel,0.547,5.364,0.8389,8,0,0.4579,30.35
plastic,mixed_plastic,15.332,3.632,0.4928,5,0,0.8618,10.27
plastic,HDPE,7.39,10.003,0.8089,5,4,0.5672,21.74
plastic,PET,0.852,13.733,0.4593,1,3,0.6808,23.02
paper,newspaper,2.891,0.928,0.9147,7,2,0.4075,9.92
paper,office_paper,1.732,13.334,0.8616,4,1,0.7584,12.92
plastic,PET,10.097,0.189,0.878,11,4,0.2682,24.81
organic,garden_waste,2.869,2.726,0.689,10,0,0.3032,5.69
textile,clothes,4.107,10.531,0.8637,11,4,0.5538,17.72
plastic,HDPE,3.571,3.678,0.7298,12,6,0.6576,19.47
textile,industrial_textile,0.759,10.736,0.5749,5,3,0.225,5.71
plastic,mixed_plastic,24.203,36.464,0.5687,6,3,0.6188,9.43
textile,clothes,9.922,8.568,0.7245,8,3,0.4996,12.78
rubber,mixed_rubber,1.828,2.931,0.5074,6,0,0.8219,10.93
plastic,PET,5.642,3.052,0.8796,4,4,0.1428,17.93
e_waste,mixed_ewaste,14.425,6.925,0.6904,9,2,0.3639,59.36
rubber,tyres,4.792,7.337,0.7251,6,3,0.4431,18.2
textile,industrial_textile,29.023,0.98,0.7444,12,0,0.5185,11.1
rubber,tyres,148.624,3.755,0.6574,3,6,0.3175,21.39
metal,steel,3.852,1.816,0.9507,6,2,0.5273,36.39
plastic,PET,2.228,1.744,0.7407,7,0,0.5195,30.17
organic,garden_waste,1.367,16.057,0.8515,11,5,0.2382,7.44
metal,steel,0.315,4.856,0.833,7,6,0.2823,33.51
metal,brass,20.041,10.809,0.662,1,3,0.8124,311.36
paper,mixed_paper,2.932,2.616,0.5709,5,0,0.3475,5.42
metal,tin,12.813,14.135,0.7753,11,6,0.4435,29.47
plastic,HDPE,16.309,2.884,0.8391,4,1,0.4876,22.23
e_waste,cables,1.225,5.515,0.4382,5,1,0.2835,66.35
plastic,HDPE,1.467,6.851,0.4964,2,4,0.7992,15.96
e_waste,batteries,36.366,28.458,0.8014,9,2,0.4728,74.83
organic,garden_waste,4.12,1.846,0.9006,2,0,0.3065,6.11
paper,office_paper,2.029,13.281,0.5888,5,4,0.2648,9.54
metal,aluminum,1.279,11.217,0.9228,9,1,0.0328,129.96
paper,cardboard,3.782,0.869,0.6906,11,6,0.4988,16.92
rubber,tyres,27.371,6.495,0.9116,3,1,0.7307,29.93
e_waste,phones,10.201,3.216,0.3212,4,6,0.8326,75.53
paper,office_paper,5.574,0.464,0.8607,2,5,0.3864,17.31
plastic,PVC,30.151,12.253,0.7253,6,1,0.6218,7.86
plastic,PET,23.925,15.345,0.7823,12,4,0.6098,26.7
paper,mixed_paper,6.692,0.611,0.8152,4,6,0.6555,8.7
textile,clothes,125.379,3.173,0.7528,4,0,0.4165,15.24
e_waste,batteries,3.33,0.859,0.5585,5,5,0.5359,51.33
plastic,HDPE,16.737,5.98,0.6031,11,3,0.3562,19.63
organic,garden_waste,2.797,2.828,0.7282,7,6,0.3333,6.77
paper,cardboard,13.242,0.92,0.9294,8,1,0.2535,13.17
organic,food_waste,3.327,6.138,0.7804,10,5,0.7517,5.01
plastic,PET,7.796,9.305,0.9081,9,6,0.4186,27.14
metal,brass,78.899,4.135,0.8224,8,2,0.5664,371.59
textile,clothes,14.044,14.02,0.4987,7,0,0.3866,11
plastic,PET,7.942,0.782,0.3556,7,2,0.402,23.33
glass,clear_glass,1.769,0.694,0.9623,3,4,0.6309,13.07
rubber,tyres,5.617,1.381,0.9816,5,4,0.7412,25.95
plastic,PP,1.337,0.446,0.5445,11,3,0.5244,15.76
plastic,HDPE,12.992,2.086,0.611,1,6,0.3595,18.51
glass,colored_glass,12.607,0.1,0.7742,10,4,0.5126,7.77
paper,office_paper,3.613,12.588,0.6267,7,4,0.3718,12.86
plastic,mixed_plastic,32.991,1.628,0.9106,5,6,0.3659,14
paper,newspaper,27.868,0.1,0.5733,2,6,0.7991,9.29
e_waste,phones,5.363,17.303,0.6959,10,2,0.5654,146.99
plastic,mixed_plastic,8.834,1.563,0.5135,1,2,0.6058,7.46
paper,cardboard,2.212,1.203,0.2376,7,5,0.4088,9.38
organic,garden_waste,3.233,9.84,0.9349,2,3,0.3402,4.67
metal,tin,1.229,1.225,0.6912,11,3,0.9082,28.12
organic,food_waste,2.524,5.026,0.9409,3,4,0.7096,4.97
paper,cardboard,3.954,8.927,0.5951,10,4,0.5777,10.67
rubber,tyres,0.611,3.499,0.619,7,6,0.3289,19.58
glass,colored_glass,8.955,2.004,0.8733,1,2,0.2672,7.13
plastic,HDPE,15.28,10.332,0.7231,9,5,0.1666,17.77
textile,clothes,4.439,4.873,0.902,11,1,0.386,18.79
paper,newspaper,0.176,19.217,0.4585,3,6,0.6639,6.99
plastic,PET,3.308,1.186,0.8224,12,0,0.6962,26.18
plastic,PET,0.842,5.321,0.7942,10,5,0.365,24.91
glass,clear_glass,2.156,6.377,0.8747,9,0,0.3359,11.04
plastic,mixed_plastic,25.593,10.534,0.921,5,6,0.2483,9.7
plastic,PP,0.241,0.547,0.931,2,6,0.3715,17.69
plastic,PET,1.683,5.898,0.9201,6,5,0.3947,31.81
paper,newspaper,12.128,6.54,0.5155,10,5,0.4724,6.74
paper,cardboard,1.93,1.114,0.3573,8,3,0.2008,8.86
metal,steel,1.761,0.105,0.696,8,1,0.7831,34.94
plastic,PET,51.361,0.477,0.5915,10,6,0.7495,32.06
plastic,PET,7.057,2.392,0.8454,5,3,0.0573,24.75
metal,steel,13.752,24.278,0.7949,1,5,0.3534,26.86
paper,cardboard,8.114,1.272,0.8325,11,4,0.125,13.74
glass,mixed_glass,5.441,32.889,0.8046,8,4,0.3975,5.14
plastic,PET,20.426,22,0.6577,7,2,0.6568,26.45
plastic,PVC,44.098,12.144,0.5305,7,2,0.1436,7.15
plastic,PET,0.594,5.528,0.9001,11,3,0.6213,30.89
paper,newspaper,4.296,23.117,0.7907,10,4,0.6779,7.63
paper,mixed_paper,4.255,21.766,0.6789,9,5,0.5733,5.97
organic,food_waste,2.677,22.248,0.7152,10,1,0.4381,4.4
paper,cardboard,14.545,13.63,0.6711,4,1,0.2971,11.09
metal,steel,6.1,7.744,0.6334,9,0,0.5374,29.05
metal,aluminum,45.176,3.744,0.4986,12,3,0.6398,144.36
plastic,PET,16.782,4.834,0.6941,3,4,0.4331,21.97
metal,copper,23.049,1.557,0.7912,7,1,0.6271,696.32
paper,office_paper,1.063,1.434,0.8826,9,4,0.5249,15.61
paper,office_paper,1.704,3.253,0.7519,7,0,0.6894,16.42
plastic,PET,1.881,10.125,0.753,12,6,0.3714,28.01
organic,garden_waste,21.928,3.523,0.7679,5,4,0.5092,7.48
textile,clothes,1.404,14.054,0.9027,3,4,0.7816,18.57
plastic,PET,1.454,0.885,0.5549,2,4,0.7735,20.37
metal,steel,1.167,0.883,0.4843,11,2,0.405,31.67
e_waste,phones,121.953,12.528,0.7216,9,6,0.7766,123.2
plastic,HDPE,3.778,2.631,0.7147,7,5,0.8137,24.98
organic,food_waste,8.464,1.04,0.8038,6,1,0.4711,5.26
metal,steel,1.14,1.375,0.9174,5,6,0.5207,27.4
textile,clothes,14.17,6.683,0.6481,12,5,0.2684,14.76
rubber,mixed_rubber,0.533,0.394,0.7228,9,2,0.3943,8.79
plastic,PET,1.384,3.455,0.9076,12,6,0.1044,26.62
paper,cardboard,1.863,3.14,0.7716,10,1,0.5149,9.78
metal,steel,5.828,0.186,0.4542,10,4,0.555,31.16
plastic,HDPE,1.73,0.167,0.5648,7,4,0.6035,20.05
paper,office_paper,27.905,0.61,0.893,3,6,0.453,16.9
rubber,tyres,8.198,3.867,0.5703,8,3,0.7334,26.3
plastic,HDPE,1.959,5.728,0.7654,9,6,0.4169,20.04
paper,cardboard,14.837,4.794,0.8387,7,1,0.3989,15.33
organic,food_waste,2.796,33.83,0.9517,1,5,0.4472,2.96
paper,office_paper,2.207,4.166,0.6035,12,1,0.6466,13.28
paper,office_paper,13.131,5.109,0.9865,10,6,0.6069,17.68
rubber,tyres,0.236,18.874,0.8551,5,5,0.9136,20.84
paper,cardboard,10.824,15.809,0.6482,6,4,0.702,10.61
plastic,PP,1.905,6.691,0.5551,2,0,0.638,12.56
plastic,PP,1.901,1.907,0.6309,12,3,0.5255,14.64
textile,industrial_textile,46.982,4.848,0.8309,3,1,0.6012,8.37
plastic,PET,2.369,7.062,0.8201,5,6,0.1967,25.06
metal,aluminum,14.113,9.626,0.8935,6,2,0.8291,144.98
plastic,PP,6.266,3.685,0.6285,4,5,0.6776,14.33
paper,mixed_paper,7.096,2.553,0.5514,8,6,0.8579,9.75
textile,industrial_textile,3.318,21.454,0.7332,12,0,0.4186,7.92
metal,steel,3.117,6.507,0.5765,11,5,0.5271,30.53
rubber,mixed_rubber,28.039,2.55,0.6442,7,2,0.4724,13.1
plastic,HDPE,13.688,0.367,0.8596,2,0,0.6632,17.25
metal,aluminum,2.461,29.177,0.667,11,1,0.5817,118.79
organic,food_waste,1.278,1.558,0.9019,4,3,0.2956,4.25
paper,newspaper,2.222,1.913,0.2905,11,5,0.5827,9.01
plastic,PET,14.553,4.625,0.8179,5,4,0.5382,25.11
organic,garden_waste,18.438,0.353,0.8415,7,1,0.5184,7.87
paper,office_paper,8.723,2.63,0.9681,6,2,0.5776,17.06
metal,aluminum,0.644,32.993,0.5206,6,2,0.381,103.91
rubber,tyres,11.073,6.061,0.634,2,5,0.5984,16.14
plastic,PVC,21.419,2.618,0.3707,7,3,0.6455,7.11
paper,newspaper,5.519,3.654,0.5777,5,0,0.7078,10.65
plastic,HDPE,48.22,1.412,0.6994,11,0,0.7214,21.77
paper,office_paper,0.918,6.964,0.8048,6,0,0.3087,15.39
plastic,HDPE,10.194,2.228,0.8054,12,6,0.6628,25.97
glass,colored_glass,1.317,16.218,0.5962,4,3,0.431,4.64
plastic,PVC,15.963,10.077,0.8316,4,3,0.6287,8.63
glass,clear_glass,9.351,0.983,0.7658,1,5,0.752,13.13
plastic,PP,38.925,16.88,0.8156,9,1,0.6367,16.08
paper,cardboard,8.163,0.1,0.328,1,0,0.5106,10.24
paper,office_paper,2.76,26.465,0.853,4,1,0.4552,14.08
e_waste,phones,2.486,8.957,0.7796,11,1,0.596,163.31
paper,newspaper,3.319,1.627,0.5765,8,5,0.6452,6.95
paper,cardboard,2.428,39.338,0.7825,7,5,0.695,9.78
organic,garden_waste,22.568,0.1,0.9208,10,4,0.802,8.88
metal,tin,20.713,6.061,0.7138,10,6,0.6696,26.23
plastic,HDPE,0.744,2.913,0.6309,11,3,0.1232,19.15
textile,clothes,4.693,12.47,0.8828,8,1,0.2629,15.63
paper,newspaper,4.831,4.18,0.8617,6,2,0.7364,11.32
plastic,HDPE,1.755,2.803,0.8767,2,0,0.7767,21.12
paper,office_paper,7.583,11.96,0.849,5,6,0.6664,15.22
plastic,PVC,25.868,8.561,0.8927,9,4,0.3346,7.49
plastic,PET,13.068,6.519,0.7275,4,5,0.6485,25.96
e_waste,mixed_ewaste,22.567,16.223,0.9419,9,1,0.4196,60.18
plastic,HDPE,1.892,7.23,0.7869,2,5,0.5073,20.39
organic,garden_waste,4.682,8.014,0.7897,1,2,0.5013,5.02
textile,industrial_textile,1.788,4.461,0.8985,5,3,0.4544,8.07
metal,copper,5.973,14.827,0.7296,3,4,0.374,653.62
e_waste,mixed_ewaste,6.655,0.367,0.404,11,6,0.6867,71.37
e_waste,cables,14.18,5.48,0.5234,5,3,0.753,86.68
rubber,tyres,21.676,11.648,0.5676,6,4,0.8828,18.98
paper,cardboard,10.245,2.182,0.9057,5,4,0.5597,15.21
plastic,PET,1.596,9.225,0.6997,4,2,0.2085,18.22
metal,tin,0.885,9.696,0.8198,12,6,0.8551,33.82
metal,steel,8.365,3.57,0.7206,9,6,0.4039,28.6
plastic,PET,27.13,2.047,0.8284,2,2,0.7373,24.5
metal,tin,4.35,10.83,0.6193,3,6,0.5522,26.35
plastic,PP,0.717,0.106,0.6856,1,3,0.6422,16.51
textile,clothes,54.691,20.952,0.9076,4,5,0.5561,15.71
plastic,PP,8.063,0.138,0.4536,8,3,0.6718,15
plastic,mixed_plastic,5.503,2.356,0.5845,12,5,0.5733,9.44
plastic,PET,1.103,5.834,0.599,6,6,0.8131,32.92
plastic,PVC,4.57,2.421,0.7662,1,2,0.4946,6.56
plastic,HDPE,10.219,1.136,0.4749,1,4,0.6665,17.9
plastic,PET,8.196,1.603,0.7981,5,3,0.2933,25.75
plastic,PP,1.982,0.1,0.6187,4,5,0.6102,14.73
plastic,PP,4.185,6.815,0.7811,7,1,0.2246,16.23
paper,mixed_paper,2.14,7.776,0.7582,2,5,0.3621,6.86
paper,newspaper,33.016,2.23,0.2657,3,4,0.2838,5.36
paper,office_paper,13.116,0.653,0.5037,7,3,0.5626,17.33
paper,office_paper,2.389,3.395,0.9573,4,2,0.6599,14.78
plastic,PET,1.103,6.839,0.8373,5,4,0.5994,25.61
plastic,PP,6.255,1.736,0.5984,3,2,0.3486,13.79
plastic,PP,2.481,2.341,0.2516,1,0,0.4279,8.48
e_waste,phones,2.713,11.765,0.8447,5,6,0.4519,156.25
rubber,tyres,1.148,0.545,0.6462,4,3,0.3455,17.09
textile,clothes,1.332,11.492,0.6001,11,1,0.4313,16.06
metal,steel,5.448,10.431,0.7935,11,1,0.5428,37.53
metal,steel,3.254,10.756,0.6622,6,5,0.3511,32.92
paper,newspaper,89.641,0.733,0.6219,4,2,0.339,7.36
e_waste,cables,9.144,5.419,0.9144,6,1,0.8454,92.34
e_waste,cables,1.125,7.668,0.7285,8,3,0.6037,91.07
organic,garden_waste,0.71,9.482,0.6732,5,0,0.7078,6.08
textile,industrial_textile,7.227,10.621,0.6559,10,3,0.7098,6.88
paper,newspaper,2.784,18.684,0.5823,12,0,0.4697,5.41
e_waste,batteries,22.149,6.711,0.7871,5,5,0.6891,74.29
organic,food_waste,6.285,7.886,0.6281,2,3,0.5661,3.48
paper,cardboard,0.415,0.488,0.7071,2,1,0.5522,10.25
textile,clothes,1.319,5.092,0.9409,11,3,0.8539,17.57
plastic,HDPE,1.993,4.782,0.9164,5,1,0.8255,21.92
rubber,tyres,7.617,3.063,0.8864,4,2,0.8167,24.89
e_waste,phones,1.267,10.183,0.7936,8,0,0.6103,157.35
plastic,PET,5.384,4.753,0.9628,12,4,0.1801,30.49
glass,colored_glass,0.902,2.568,0.5205,6,6,0.6423,5.82
plastic,mixed_plastic,4.515,2.773,0.829,4,3,0.9185,13.12
e_waste,phones,6.987,19.26,0.7393,11,0,0.2938,154.12
organic,food_waste,25.889,18.729,0.7777,1,0,0.1937,3.93
metal,brass,6.018,7.292,0.2709,11,5,0.8257,341.05
organic,food_waste,1.682,16.563,0.774,7,2,0.5555,4.35
plastic,PP,26.886,16.256,0.6567,1,2,0.5914,10.53
plastic,PET,3.597,5.49,0.5972,3,0,0.8181,23.03
paper,newspaper,11.339,1.052,0.9319,9,4,0.4251,9.56
plastic,mixed_plastic,2.148,11.391,0.7657,10,0,0.3376,8.96
paper,mixed_paper,4.997,14.045,0.4693,3,6,0.3335,2.46
plastic,HDPE,1.713,3.501,0.7454,8,1,0.2198,19.73
paper,cardboard,6.598,25.133,0.9423,12,0,0.6388,14.44
paper,office_paper,11.759,14.714,0.9135,9,4,0.8017,18.23
organic,food_waste,2.475,5.562,0.1967,9,2,0.3848,2.84
plastic,PP,2.314,2.568,0.9815,3,4,0.2737,16.5
textile,clothes,6.877,11.647,0.7187,8,0,0.2614,16.33
paper,newspaper,1.665,10.469,0.8675,9,6,0.3575,8.89
paper,cardboard,0.725,25.474,0.7429,2,2,0.7519,9.62
metal,aluminum,6.847,0.339,0.6528,4,5,0.773,133.3
paper,mixed_paper,3.938,2.362,0.7111,11,6,0.423,8.94
plastic,PVC,3.84,1.295,0.7871,12,3,0.5796,11.8
metal,steel,8.375,7.227,0.6195,3,2,0.574,21.3
plastic,PET,9.904,9.826,0.1817,9,2,0.5425,20.14
paper,mixed_paper,3.694,16.825,0.6716,7,4,0.3397,5.8
metal,aluminum,1.165,19.749,0.7892,8,0,0.5971,132
paper,cardboard,2.083,0.699,0.7751,7,1,0.6157,15.59
organic,garden_waste,9.043,12.658,0.3857,11,4,0.4732,4.92
plastic,HDPE,5.279,8.89,0.856,6,0,0.3801,21.25
rubber,tyres,2.317,4.622,0.8187,8,2,0.5487,21.68
organic,garden_waste,1.748,37.642,0.9526,9,4,0.6675,6.46
rubber,mixed_rubber,9.406,0.122,0.7269,7,1,0.7996,15.96
organic,food_waste,3.435,7.949,0.8576,11,6,0.7219,4.36
