waste_type,sub_type,weight_kg,distance_km,consistency_score,month,day_of_week,market_demand_index,county,collection_point,quality_grade,price_per_kg
metal,brass,17.24,3.36,0.8777,7,1,0.2801,Mombasa,dump_site,excellent,288.66
e_waste,phones,8.56,4.17,0.8154,12,3,0.8056,Nairobi,industrial,good,137.75
metal,tin,15.24,11.18,0.7467,1,4,0.2318,Nairobi,commercial,good,19.49
plastic,mixed_plastic,2.63,4.86,0.7375,2,4,0.4879,Nairobi,dump_site,good,11.11
metal,aluminum,11.7,10.71,0.7333,11,1,0.5698,Eldoret,household,good,65.64
plastic,mixed_plastic,14.43,4.94,0.8119,4,4,0.3626,Nairobi,household,good,11.88
plastic,mixed_plastic,13.99,3.81,0.7345,10,4,0.4544,Kisumu,commercial,good,9.82
plastic,PET,11.09,3.77,0.2619,10,3,0.3755,Mombasa,commercial,poor,21.25
paper,mixed_paper,18.31,0.56,0.9142,10,2,0.3773,Nairobi,commercial,excellent,8.82
paper,newspaper,13.54,6.98,0.8853,3,3,0.5521,Nairobi,household,excellent,10.29
plastic,PVC,20.07,17.51,0.5672,11,4,0.5295,Nairobi,commercial,fair,6.71
metal,tin,1.95,2.77,0.776,10,6,0.4408,Nairobi,household,good,19.61
plastic,HDPE,26.18,1.26,0.8927,2,1,0.3807,Mombasa,industrial,excellent,34.02
plastic,HDPE,20.67,5.87,0.707,4,3,0.6467,Nairobi,household,good,25.64
paper,newspaper,1.94,6.22,0.487,5,6,0.4181,Nairobi,household,poor,6.69
paper,mixed_paper,34.76,6.42,0.734,6,3,0.7113,Nairobi,commercial,good,8.72
plastic,PVC,6.07,15.85,0.8987,7,1,0.8427,Nairobi,household,excellent,10.15
paper,mixed_paper,12.79,7.49,0.7146,11,3,0.4824,Mombasa,commercial,good,7.23
plastic,PET,4.16,2.09,0.6833,8,3,0.2362,Nakuru,household,fair,23.41
metal,brass,10.31,6.85,0.7214,5,2,0.5459,Kisumu,commercial,good,237.2
paper,newspaper,38.38,1.38,0.8472,1,0,0.4865,Nairobi,commercial,good,10.56
rubber,mixed_rubber,6.09,4.08,0.8739,10,0,0.5475,Nairobi,commercial,excellent,13.64
plastic,PET,3.64,2.89,0.7803,4,2,0.5482,Nakuru,household,good,24.39
plastic,mixed_plastic,33.02,2.31,0.8218,2,0,0.5278,Nakuru,commercial,good,10.53
plastic,PVC,4.1,1.98,0.6094,6,5,0.6552,Nairobi,household,fair,8.35
metal,steel,61.45,3.25,0.6757,7,0,0.4783,Mombasa,commercial,fair,33.55
textile,industrial_textile,26.94,3.52,0.8999,8,4,0.6844,Eldoret,household,excellent,6.88
e_waste,computers,68.39,1.84,0.8917,7,3,0.6055,Nairobi,commercial,excellent,110.31
glass,clear_glass,4.12,0.41,0.7679,5,5,0.5046,Kisumu,dump_site,good,6.02
metal,brass,13.63,0.69,0.6051,10,2,0.4743,Nairobi,commercial,fair,274.18
metal,steel,7.17,4.59,0.946,7,5,0.5919,Eldoret,household,excellent,28.27
plastic,HDPE,18.26,6.73,0.647,2,0,0.6831,Nairobi,commercial,fair,28.32
metal,steel,21.57,3.12,0.6739,7,3,0.5294,Eldoret,commercial,fair,23.53
plastic,PET,5.97,2.42,0.5837,1,4,0.4561,Nairobi,household,fair,30.21
rubber,mixed_rubber,17.77,9.95,0.8459,7,2,0.4911,Nairobi,industrial,good,15.32
e_waste,mixed_ewaste,79.74,8.01,0.7431,12,3,0.6018,Eldoret,commercial,good,55.84
paper,newspaper,21.61,2.12,0.7754,3,3,0.7094,Nairobi,industrial,good,10.84
plastic,PET,30.65,9.05,0.7015,8,2,0.8196,Nairobi,industrial,good,38.68
metal,steel,21.25,23.15,0.7454,3,4,0.5854,Nairobi,industrial,good,27.61
glass,mixed_glass,43.7,1.69,0.492,4,5,0.4803,Nairobi,commercial,poor,3.69
organic,food_waste,17.98,3.55,0.5417,6,1,0.615,Mombasa,household,fair,4.25
plastic,PP,21.75,6.44,0.6081,4,5,0.6452,Nakuru,dump_site,fair,9.82
plastic,PET,24.89,4.33,0.6855,10,5,0.3377,Nairobi,commercial,fair,32.37
rubber,mixed_rubber,5.01,1.84,0.9392,12,3,0.533,Nakuru,household,excellent,9.25
plastic,HDPE,1.82,0.37,0.5595,9,2,0.554,Nairobi,industrial,fair,26.47
metal,aluminum,4.47,10.02,0.6052,8,3,0.5449,Kisumu,industrial,fair,110.88
textile,clothes,57.41,1.84,0.7631,5,3,0.4937,Nairobi,dump_site,good,12.76
plastic,mixed_plastic,0.6,2.3,0.5526,6,3,0.4165,Nakuru,household,fair,7.18
paper,office_paper,46.38,1.94,0.767,9,4,0.5684,Mombasa,dump_site,good,15.7
plastic,PVC,7.55,1.47,0.8038,11,4,0.4508,Nairobi,industrial,good,9.47
metal,copper,7.46,2.67,0.8234,6,0,0.7206,Nairobi,commercial,good,555.22
organic,garden_waste,12.91,1.64,0.5899,5,4,0.4394,Nairobi,dump_site,fair,6.31
metal,brass,27.45,5.82,0.6172,12,2,0.5245,Nairobi,commercial,fair,298.73
textile,clothes,18.35,2.15,0.559,9,5,0.3709,Mombasa,household,fair,10.62
paper,cardboard,16.96,6.1,0.6739,5,6,0.261,Eldoret,industrial,fair,11.47
e_waste,cables,164.1,0.84,0.5953,8,5,0.1614,Eldoret,commercial,fair,69.89
e_waste,batteries,2.81,8.11,0.751,4,2,0.6461,Nairobi,household,good,50.64
paper,mixed_paper,14.65,1.17,0.6788,12,5,0.5968,Nakuru,industrial,fair,6.23
plastic,HDPE,9.8,16.7,0.456,5,4,0.6317,Nairobi,commercial,poor,18.72
paper,cardboard,3.43,3.72,0.6746,6,4,0.5014,Kisumu,dump_site,fair,9.83
paper,mixed_paper,8.1,5.94,0.8404,12,2,0.6613,Nakuru,commercial,good,7.86
plastic,HDPE,32.84,7.35,0.7364,2,3,0.3849,Nairobi,commercial,good,29.57
metal,aluminum,8.27,2.46,0.5853,3,3,0.5551,Mombasa,commercial,fair,87.18
e_waste,mixed_ewaste,2.12,3.2,0.7672,3,1,0.4651,Nairobi,commercial,good,75.72
plastic,PVC,0.63,1.84,0.842,12,5,0.3144,Nairobi,household,good,8.8
textile,industrial_textile,3.37,0.29,0.7489,1,4,0.287,Nairobi,household,good,6.13
glass,colored_glass,36.66,4.18,0.5337,2,0,0.4327,Nairobi,dump_site,fair,4.2
e_waste,mixed_ewaste,10.31,3.37,0.6378,8,4,0.4529,Nairobi,dump_site,fair,56.69
paper,cardboard,46.16,6.67,0.9731,8,5,0.3873,Nairobi,household,excellent,15.43
e_waste,computers,3.29,6.57,0.4565,12,5,0.6806,Nakuru,industrial,poor,64.48
metal,steel,16.6,7.29,0.9661,7,3,0.3398,Kisumu,dump_site,excellent,24.01
plastic,PVC,8.5,1.94,0.8666,12,1,0.3743,Eldoret,household,excellent,8.05
e_waste,cables,5.93,0.7,0.8158,11,1,0.3943,Nairobi,household,good,68.46
paper,mixed_paper,13.91,11.89,0.6099,6,5,0.3142,Eldoret,household,fair,5.14
plastic,PP,16.67,1.96,0.755,12,1,0.5556,Nairobi,dump_site,good,14.97
metal,tin,19.34,3.06,0.6292,1,3,0.3659,Nairobi,commercial,fair,19.71
e_waste,computers,12.69,5.49,0.8981,3,0,0.7721,Nairobi,dump_site,excellent,97.24
plastic,mixed_plastic,1.58,16.74,0.6738,8,6,0.4013,Nairobi,household,fair,10.51
organic,garden_waste,13.15,1.28,0.8899,4,5,0.7076,Nairobi,household,excellent,8.27
e_waste,computers,37.87,10.92,0.8387,2,5,0.3033,Nairobi,commercial,good,114.16
plastic,PET,17.89,26.16,0.7848,5,2,0.8429,Eldoret,industrial,good,27.03
metal,tin,9.94,1.16,0.5165,2,0,0.444,Mombasa,industrial,fair,18.55
metal,brass,63.7,2.18,0.7169,10,2,0.4933,Nairobi,household,good,273.28
glass,mixed_glass,64.98,13.21,0.7501,7,5,0.6925,Nairobi,household,good,5.17
textile,clothes,19.58,3.43,0.7583,4,2,0.6261,Nairobi,commercial,good,14.03
metal,steel,22.52,14.17,0.9266,1,1,0.2365,Nairobi,commercial,excellent,27.38
rubber,mixed_rubber,17.57,13.05,0.7035,3,6,0.456,Nakuru,commercial,good,9.74
plastic,PVC,21.33,2.27,0.7355,11,4,0.537,Nairobi,household,good,8.84
paper,office_paper,19.98,7.68,0.8707,2,1,0.6664,Kisumu,commercial,excellent,15.86
e_waste,phones,4.12,11.02,0.6097,11,0,0.8385,Kisumu,household,fair,70.13
metal,steel,33.37,4.99,0.5559,9,1,0.5564,Nakuru,industrial,fair,24.48
plastic,HDPE,56.03,2.24,0.2313,1,0,0.162,Eldoret,household,poor,12.2
e_waste,cables,5.53,7.3,0.4801,2,5,0.4034,Nairobi,dump_site,poor,51.59
plastic,mixed_plastic,39.21,0.24,0.9144,5,6,0.6121,Nairobi,commercial,excellent,16.61
plastic,HDPE,10.02,4.72,0.6749,12,3,0.2314,Nairobi,industrial,fair,25.92
metal,steel,13.5,2.78,0.6858,9,1,0.6563,Nairobi,household,fair,28.87
e_waste,batteries,13.44,3.13,0.9073,9,5,0.5508,Nakuru,dump_site,excellent,45.52
textile,clothes,0.87,6.68,0.9418,3,1,0.4566,Mombasa,industrial,excellent,15.28
paper,office_paper,12.54,13.28,0.6547,5,2,0.6084,Nairobi,household,fair,13.55
metal,tin,19.85,1.13,0.4513,11,3,0.586,Nakuru,household,poor,11.44
rubber,mixed_rubber,6.54,12.22,0.7964,11,3,0.5266,Nairobi,household,good,10.31
textile,clothes,110.02,4.97,0.7501,12,6,0.6238,Nairobi,industrial,good,17.51
metal,tin,4.65,16.98,0.7953,1,1,0.5983,Mombasa,industrial,good,21.74
paper,office_paper,8.35,7.39,0.4187,4,0,0.5178,Mombasa,household,poor,9.61
metal,copper,6.88,1.77,0.4887,9,4,0.2328,Nairobi,industrial,poor,410.83
e_waste,cables,3.17,3.82,0.9011,4,2,0.6597,Eldoret,household,excellent,55.11
plastic,mixed_plastic,5.2,0.91,0.5647,10,5,0.8309,Eldoret,commercial,fair,9.34
plastic,PET,62.87,5.44,0.9115,7,2,0.4979,Kisumu,household,excellent,32.74
metal,brass,18.56,3.32,0.5148,1,5,0.7912,Nakuru,household,fair,213.2
plastic,PET,132.43,6.58,0.7686,4,0,0.3451,Nairobi,dump_site,good,27.41
e_waste,batteries,9.91,1.92,0.5371,6,0,0.3955,Mombasa,household,fair,43.34
metal,copper,14.23,3.27,0.9532,2,6,0.4466,Nairobi,commercial,excellent,565.3
textile,clothes,2.88,0.49,0.7029,9,1,0.73,Nairobi,industrial,good,18.23
plastic,PP,32.09,1.11,0.6942,5,6,0.3199,Nairobi,dump_site,fair,14.72
paper,newspaper,15.19,12.64,0.616,6,4,0.6173,Eldoret,household,fair,5.84
plastic,PET,4.94,1.65,0.8849,9,3,0.4249,Kisumu,household,excellent,28.94
paper,newspaper,16.0,2.54,0.6982,1,5,0.5319,Nairobi,dump_site,fair,7.25
plastic,PET,2.14,12.46,0.9816,1,4,0.7975,Kisumu,dump_site,excellent,29.18
plastic,HDPE,9.96,10.82,0.7468,2,5,0.5892,Mombasa,industrial,good,27.65
glass,mixed_glass,66.24,8.07,0.5382,1,3,0.3814,Nairobi,commercial,fair,4.02
metal,aluminum,26.99,2.6,0.6824,10,2,0.2457,Nairobi,industrial,fair,108.28
metal,steel,7.22,9.17,0.3054,3,3,0.4698,Eldoret,dump_site,poor,12.56
e_waste,cables,22.57,7.35,0.9016,4,0,0.5644,Mombasa,industrial,excellent,80.51
organic,food_waste,114.65,5.21,0.8803,10,3,0.2149,Nairobi,commercial,excellent,6.37
metal,tin,10.28,5.48,0.7161,8,0,0.441,Eldoret,commercial,good,19.15
paper,newspaper,20.83,1.34,0.6321,3,0,0.3929,Nakuru,dump_site,fair,6.11
paper,mixed_paper,89.38,2.55,0.921,2,1,0.5011,Nairobi,household,excellent,11.13
plastic,HDPE,45.28,6.47,0.8268,7,3,0.3948,Mombasa,industrial,good,32.2
e_waste,mixed_ewaste,2.15,0.54,0.552,7,1,0.4821,Kisumu,dump_site,fair,43.0
textile,clothes,49.77,3.47,0.7277,6,6,0.6446,Mombasa,household,good,13.74
plastic,mixed_plastic,80.9,4.83,0.8761,9,2,0.3439,Nairobi,industrial,excellent,15.13
metal,aluminum,18.36,3.11,0.5554,9,2,0.5759,Nairobi,household,fair,88.33
plastic,mixed_plastic,28.4,1.22,0.5076,2,6,0.4924,Mombasa,household,fair,10.19
textile,clothes,36.82,2.8,0.5062,3,5,0.441,Nairobi,household,fair,11.27
metal,brass,7.73,0.61,0.6012,12,5,0.8919,Mombasa,dump_site,fair,231.5
paper,newspaper,6.69,6.54,0.6748,4,0,0.3047,Nairobi,household,fair,6.65
organic,garden_waste,4.81,0.35,0.7504,4,0,0.5287,Nairobi,industrial,good,8.89
metal,tin,29.53,2.73,0.7775,11,0,0.6446,Nairobi,household,good,20.37
paper,newspaper,69.93,2.12,0.8279,11,6,0.4086,Nairobi,dump_site,good,8.04
plastic,HDPE,30.2,5.89,0.7561,6,3,0.7168,Nairobi,commercial,good,31.99
plastic,PET,12.15,2.18,0.7708,2,4,0.5401,Mombasa,household,good,30.44
rubber,mixed_rubber,17.39,5.52,0.7818,7,4,0.3528,Eldoret,dump_site,good,8.1
metal,aluminum,42.74,2.44,0.5997,8,1,0.6479,Eldoret,dump_site,fair,86.75
plastic,mixed_plastic,18.68,4.83,0.8357,4,1,0.6226,Mombasa,industrial,good,15.5
organic,garden_waste,14.97,15.94,0.7358,4,2,0.5738,Nairobi,household,good,5.73
e_waste,batteries,17.48,1.17,0.6674,11,6,0.6452,Nairobi,household,fair,41.24
textile,clothes,108.51,1.89,0.8561,10,5,0.5618,Nairobi,commercial,excellent,16.26
e_waste,phones,22.75,0.67,0.6398,3,4,0.576,Nairobi,commercial,fair,121.65
plastic,PP,54.46,3.91,0.7821,5,3,0.2337,Mombasa,household,good,14.7
plastic,mixed_plastic,2.8,1.09,0.702,7,0,0.5028,Nairobi,commercial,good,13.26
glass,clear_glass,58.37,1.6,0.5602,9,2,0.5512,Nairobi,commercial,fair,8.75
glass,colored_glass,31.42,7.88,0.6855,4,5,0.7589,Nairobi,industrial,fair,6.63
textile,clothes,10.77,4.82,0.7845,11,0,0.5354,Nairobi,dump_site,good,11.48
plastic,PET,3.08,8.68,0.3775,1,1,0.4017,Nairobi,household,poor,22.42
plastic,HDPE,22.55,1.16,0.5349,6,5,0.7663,Nairobi,industrial,fair,25.88
plastic,PET,13.52,1.79,0.7077,6,3,0.2081,Kisumu,household,good,24.2
plastic,PET,10.84,9.0,0.5372,8,2,0.4995,Kisumu,household,fair,23.17
e_waste,phones,47.27,0.23,0.6465,2,4,0.2015,Mombasa,household,fair,98.35
textile,clothes,35.04,0.94,0.9199,8,0,0.6318,Nairobi,commercial,excellent,20.58
plastic,PET,45.03,2.0,0.7662,8,2,0.5961,Mombasa,commercial,good,35.09
plastic,PET,10.04,5.8,0.7975,7,2,0.2846,Nairobi,commercial,good,38.87
textile,industrial_textile,6.06,1.85,0.9663,11,1,0.7863,Nakuru,commercial,excellent,7.75
paper,newspaper,4.31,5.34,0.9314,11,0,0.7318,Nakuru,household,excellent,7.67
metal,brass,20.83,2.81,0.4245,9,6,0.487,Nakuru,household,poor,182.81
plastic,PP,20.2,6.99,0.825,8,3,0.6316,Nairobi,dump_site,good,19.0
textile,clothes,14.38,5.91,0.3951,3,1,0.8823,Kisumu,industrial,poor,10.93
plastic,PVC,97.9,0.38,0.6234,9,0,0.7644,Nairobi,commercial,fair,10.84
plastic,PP,15.4,2.88,0.866,3,1,0.3779,Nakuru,industrial,excellent,16.21
glass,mixed_glass,2.18,10.59,0.5905,5,6,0.3674,Nakuru,industrial,fair,3.07
e_waste,mixed_ewaste,4.07,1.01,0.5518,7,1,0.3051,Mombasa,household,fair,50.6
plastic,PP,41.4,11.93,0.4922,9,2,0.5966,Nairobi,commercial,poor,16.65
plastic,PP,30.09,14.59,0.6056,4,3,0.1445,Nairobi,household,fair,10.55
e_waste,mixed_ewaste,63.57,14.2,0.8475,9,1,0.6009,Mombasa,household,good,65.14
metal,aluminum,15.6,12.67,0.9059,7,5,0.6441,Eldoret,household,excellent,88.9
e_waste,cables,15.23,1.84,0.5514,3,4,0.5791,Nairobi,industrial,fair,67.44
plastic,HDPE,42.15,7.92,0.8804,1,3,0.4285,Nairobi,commercial,excellent,26.47
plastic,HDPE,32.63,21.18,0.8892,2,1,0.4667,Nairobi,industrial,excellent,29.92
paper,cardboard,57.61,6.13,0.7662,9,3,0.4463,Eldoret,household,good,9.99
plastic,PP,8.95,3.93,0.5786,5,3,0.3772,Kisumu,dump_site,fair,9.96
metal,brass,39.36,5.18,0.7294,9,5,0.4209,Nairobi,dump_site,good,279.84
organic,garden_waste,3.35,18.76,0.9344,5,4,0.698,Nairobi,industrial,excellent,7.89
plastic,mixed_plastic,34.87,0.31,0.9795,1,0,0.5033,Nairobi,household,excellent,15.19
plastic,mixed_plastic,3.9,3.47,0.7222,2,1,0.6492,Eldoret,commercial,good,10.93
plastic,PP,38.1,8.26,0.3993,4,1,0.3028,Nairobi,commercial,poor,12.4
plastic,mixed_plastic,15.33,7.76,0.7067,4,2,0.4647,Nairobi,industrial,good,11.75
paper,office_paper,6.64,4.67,0.8967,12,4,0.6717,Nairobi,commercial,excellent,19.25
metal,copper,10.71,0.99,0.8646,3,2,0.3811,Nairobi,commercial,excellent,599.24
paper,mixed_paper,2.95,22.01,0.634,3,6,0.4604,Nairobi,dump_site,fair,5.49
plastic,mixed_plastic,39.37,5.22,0.8315,2,1,0.2549,Nairobi,household,good,12.23
plastic,HDPE,5.37,4.77,0.9451,4,2,0.3761,Nairobi,commercial,excellent,25.32
paper,office_paper,14.3,1.17,0.7254,5,6,0.306,Mombasa,household,good,13.84
metal,aluminum,13.93,3.71,0.8549,7,3,0.619,Mombasa,commercial,excellent,125.03
organic,food_waste,25.06,0.77,0.8445,7,3,0.7274,Nairobi,commercial,good,7.83
textile,clothes,54.37,6.13,0.3083,5,3,0.4045,Nakuru,commercial,poor,8.69
metal,brass,24.04,3.13,0.7733,2,3,0.5247,Mombasa,commercial,good,294.58
plastic,PET,16.12,1.01,0.7562,8,5,0.8102,Nakuru,household,good,31.83
paper,newspaper,30.08,3.93,0.917,9,0,0.4125,Nakuru,industrial,excellent,9.46
textile,industrial_textile,46.39,2.6,0.6093,8,1,0.3606,Nairobi,household,fair,8.36
metal,brass,15.52,17.24,0.4414,5,6,0.3312,Nairobi,commercial,poor,208.73
metal,aluminum,18.74,8.36,0.5333,2,0,0.59,Kisumu,household,fair,80.7
glass,mixed_glass,13.89,4.44,0.9563,1,5,0.5652,Mombasa,industrial,excellent,5.99
e_waste,batteries,13.31,13.19,0.8952,7,0,0.5755,Kisumu,household,excellent,49.59
plastic,PVC,43.79,1.02,0.6756,3,4,0.8059,Nairobi,industrial,fair,11.31
e_waste,batteries,41.92,1.58,0.7315,12,3,0.5093,Nairobi,industrial,good,63.86
glass,colored_glass,18.33,3.47,0.8093,8,4,0.1633,Kisumu,commercial,good,5.98
rubber,tyres,0.61,2.09,0.6369,12,6,0.4978,Nairobi,household,fair,17.87
plastic,PVC,24.45,1.18,0.8607,4,6,0.6498,Nairobi,household,excellent,8.27
plastic,PP,13.17,6.76,0.5549,12,6,0.6718,Nairobi,commercial,fair,16.01
e_waste,mixed_ewaste,41.41,6.61,0.5795,12,5,0.5377,Nakuru,dump_site,fair,39.18
glass,clear_glass,8.94,1.31,0.4606,9,0,0.752,Nairobi,industrial,poor,9.54
paper,office_paper,43.06,6.0,0.5687,9,5,0.416,Nakuru,household,fair,9.63
paper,newspaper,2.62,5.8,0.5974,9,0,0.6894,Mombasa,household,fair,7.55
metal,copper,28.88,2.76,0.495,4,3,0.4912,Eldoret,household,poor,291.92
rubber,mixed_rubber,4.23,3.25,0.6024,7,6,0.4212,Nairobi,commercial,fair,11.3
e_waste,phones,35.46,4.67,0.8167,1,2,0.6362,Nairobi,commercial,good,146.62
metal,steel,2.22,14.89,0.6035,9,6,0.5814,Nairobi,commercial,fair,24.91
organic,food_waste,56.86,4.15,0.8004,2,2,0.5679,Nairobi,household,good,6.65
paper,mixed_paper,21.11,12.74,0.8652,8,5,0.6697,Nairobi,dump_site,excellent,9.32
textile,clothes,86.18,5.02,0.6937,4,5,0.1935,Nairobi,household,fair,11.51
glass,colored_glass,14.88,2.33,0.8909,8,4,0.1854,Mombasa,commercial,excellent,7.66
rubber,tyres,10.57,8.06,0.5237,2,5,0.6623,Nairobi,household,fair,15.26
textile,industrial_textile,45.75,4.29,0.8473,11,5,0.7617,Nairobi,industrial,good,9.59
plastic,HDPE,8.25,1.89,0.7879,5,1,0.7016,Nairobi,household,good,24.94
metal,tin,49.86,5.82,0.9523,6,6,0.337,Eldoret,dump_site,excellent,17.39
plastic,PVC,6.18,13.46,0.547,1,1,0.8128,Mombasa,household,fair,6.57
paper,mixed_paper,15.14,4.99,0.928,10,5,0.5862,Kisumu,industrial,excellent,9.02
paper,cardboard,13.0,5.79,0.9189,10,0,0.3473,Eldoret,industrial,excellent,12.37
metal,steel,2.52,1.87,0.6584,8,2,0.5881,Nairobi,dump_site,fair,24.13
paper,cardboard,7.46,2.33,0.8958,1,0,0.5799,Mombasa,household,excellent,14.02
glass,clear_glass,29.32,0.62,0.5315,4,4,0.6092,Mombasa,commercial,fair,6.6
metal,tin,2.31,1.4,0.8977,2,6,0.5251,Nairobi,dump_site,excellent,21.34
metal,copper,12.11,1.92,0.7647,9,1,0.3931,Nakuru,dump_site,good,411.81
glass,mixed_glass,3.3,2.92,0.865,6,3,0.2099,Nairobi,household,excellent,3.76
metal,brass,39.77,1.71,0.7115,12,3,0.3102,Nairobi,commercial,good,318.95
e_waste,cables,35.55,11.69,0.7682,7,5,0.4086,Eldoret,household,good,47.49
plastic,HDPE,9.51,11.32,0.5702,5,1,0.6026,Nakuru,dump_site,fair,15.72
paper,office_paper,1.04,5.03,0.6797,12,1,0.1787,Mombasa,industrial,fair,13.98
metal,brass,54.91,1.93,0.912,7,6,0.8274,Mombasa,commercial,excellent,451.19
plastic,mixed_plastic,13.57,1.45,0.8441,2,5,0.585,Nairobi,commercial,good,15.92
e_waste,phones,28.41,4.2,0.8955,10,6,0.5772,Eldoret,dump_site,excellent,81.31
plastic,mixed_plastic,1.63,9.32,0.8745,8,1,0.4934,Nairobi,commercial,excellent,14.03
paper,office_paper,71.67,3.79,0.4057,11,3,0.5007,Nakuru,household,poor,8.71
plastic,PVC,20.03,6.87,0.8349,3,0,0.2185,Nairobi,industrial,good,9.68
paper,mixed_paper,7.41,5.2,0.8325,1,3,0.3202,Nairobi,household,good,9.68
plastic,HDPE,33.14,1.9,0.7674,10,4,0.3073,Nairobi,commercial,good,27.4
plastic,mixed_plastic,12.88,5.05,0.8639,3,3,0.5373,Nairobi,industrial,excellent,15.46
paper,mixed_paper,6.3,4.47,0.7427,10,5,0.7745,Nairobi,household,good,8.05
paper,office_paper,41.25,2.38,0.6249,6,5,0.5553,Nakuru,industrial,fair,14.69
plastic,PET,49.67,1.54,0.6125,8,6,0.3198,Nairobi,commercial,fair,28.01
e_waste,phones,7.19,4.11,0.6637,10,1,0.7268,Nairobi,commercial,fair,130.06
glass,clear_glass,18.12,5.33,0.7622,9,4,0.5724,Nairobi,commercial,good,8.05
e_waste,batteries,21.81,6.3,0.8302,9,5,0.6437,Mombasa,industrial,good,56.98
plastic,mixed_plastic,1.81,14.76,0.851,8,6,0.2394,Nakuru,commercial,excellent,9.89
paper,office_paper,19.07,0.89,0.8226,5,5,0.5338,Mombasa,commercial,good,15.5
plastic,PET,2.47,7.69,0.587,7,1,0.4276,Nairobi,commercial,fair,33.27
plastic,mixed_plastic,2.4,17.14,0.8697,5,2,0.7713,Nairobi,industrial,excellent,14.26
paper,newspaper,106.18,4.87,0.7309,10,6,0.4469,Mombasa,household,good,7.29
metal,steel,5.93,3.25,0.7656,5,1,0.3071,Eldoret,commercial,good,20.02
metal,brass,28.02,0.72,0.8107,1,6,0.4985,Nairobi,household,good,326.5
textile,clothes,11.12,3.51,0.8547,1,2,0.7564,Nairobi,commercial,excellent,18.71
organic,food_waste,42.45,3.61,0.63,4,1,0.1071,Nakuru,household,fair,4.27
metal,brass,65.04,9.73,0.7858,9,1,0.7753,Mombasa,commercial,good,339.11
plastic,mixed_plastic,50.29,1.5,0.4268,4,5,0.3827,Nairobi,industrial,poor,9.84
glass,clear_glass,8.69,1.21,0.9651,1,1,0.2739,Eldoret,household,excellent,7.29
plastic,PP,62.1,3.13,0.3773,4,5,0.6691,Nakuru,commercial,poor,11.98
plastic,HDPE,58.17,6.62,0.6676,10,2,0.4654,Nairobi,industrial,fair,23.48
plastic,PVC,25.14,0.72,0.9139,12,3,0.5261,Nairobi,industrial,excellent,12.5
metal,tin,15.26,3.33,0.7206,11,5,0.7555,Nairobi,household,good,19.67
paper,cardboard,2.29,5.42,0.8078,1,2,0.7951,Nakuru,household,good,13.01
metal,copper,42.16,14.6,0.6873,6,6,0.5495,Kisumu,commercial,fair,401.74
e_waste,batteries,6.3,1.58,0.93,4,5,0.5154,Nairobi,household,excellent,51.97
organic,food_waste,8.85,8.36,0.8395,6,5,0.3016,Nairobi,industrial,good,5.69
metal,tin,115.83,3.61,0.9386,3,6,0.7034,Nairobi,industrial,excellent,37.74
plastic,PVC,38.73,3.62,0.783,1,3,0.5819,Nakuru,commercial,good,9.68
organic,food_waste,52.25,2.39,0.6264,8,0,0.2832,Nairobi,industrial,fair,7.15
textile,industrial_textile,16.16,16.49,0.8606,2,5,0.6054,Nairobi,household,excellent,9.42
paper,mixed_paper,4.03,6.83,0.6501,1,1,0.3202,Mombasa,household,fair,6.7
plastic,PET,4.39,10.54,0.6955,9,5,0.3956,Nairobi,industrial,fair,37.52
rubber,mixed_rubber,13.59,2.84,0.8025,10,0,0.4205,Kisumu,household,good,9.15
paper,mixed_paper,7.1,9.27,0.7436,9,5,0.6407,Eldoret,dump_site,good,6.14
metal,steel,15.18,7.71,0.7204,3,3,0.2075,Nairobi,household,good,24.79
metal,tin,6.49,12.34,0.5122,4,0,0.3901,Nairobi,household,fair,15.0
plastic,PVC,33.26,1.52,0.7174,11,3,0.5868,Nairobi,household,good,8.9
metal,copper,42.98,9.15,0.4136,9,0,0.4759,Nairobi,household,poor,332.39
paper,office_paper,51.08,9.98,0.6255,6,5,0.2872,Nairobi,commercial,fair,14.33
glass,mixed_glass,11.89,1.6,0.6738,5,4,0.2929,Nairobi,commercial,fair,4.32
metal,tin,25.16,10.04,0.6269,9,5,0.4962,Nairobi,household,fair,19.25
e_waste,computers,24.98,3.66,0.7626,7,1,0.3858,Mombasa,commercial,good,79.35
e_waste,batteries,1.9,12.99,0.8391,8,4,0.244,Mombasa,commercial,good,51.57
metal,tin,92.14,0.36,0.8756,11,4,0.2794,Nairobi,dump_site,excellent,19.17
glass,mixed_glass,19.74,3.43,0.8138,8,3,0.6356,Kisumu,commercial,good,4.46
e_waste,batteries,36.69,0.28,0.8411,7,0,0.7125,Nairobi,industrial,good,84.15
plastic,PP,21.35,4.13,0.7381,5,6,0.3015,Nairobi,dump_site,good,13.16
e_waste,cables,59.78,0.57,0.6849,10,0,0.5792,Kisumu,commercial,fair,68.18
metal,steel,21.48,1.64,0.9142,9,4,0.3415,Nairobi,commercial,excellent,33.76
plastic,HDPE,10.51,4.79,0.7393,12,0,0.7372,Eldoret,commercial,good,21.72
metal,tin,16.61,10.57,0.5848,8,5,0.3864,Kisumu,industrial,fair,17.18
glass,colored_glass,21.07,1.99,0.7928,10,5,0.778,Kisumu,commercial,good,5.55
rubber,tyres,69.39,4.24,0.564,5,0,0.7588,Eldoret,dump_site,fair,11.14
